id,name,Class
B1,Bush vs. the Beltway,3
B2,Charlie Wilson's War,3
B3,Losing Bin Laden,3
B5,The Man Who Warned America,3
B8,A National Party No More,3
B9,Bush Country,3
B10,Dereliction of Duty,3
B11,Legacy,3
B12,Off with Their Heads,3
B13,Persecution,3
B14,Rumsfeld's War,3
B15,Breakdown,3
B16,Betrayal,3
B17,Shut Up and Sing,3
B19,The Right Man,3
B20,Ten Minutes from Normal,3
B21,Hillary's Scheme,3
B22,The French Betrayal of America,3
B23,Tales from the Left Coast,3
B24,Hating America,3
B25,The Third Terrorist,3
B26,Endgame,3
B27,Spin Sisters,3
B29,Dangerous Dimplomacy,3
B30,The Price of Loyalty,1
B31,"House of Bush, House of Saud",1
B32,The Death of Right and Wrong,3
B33,Useful Idiots,3
B34,The O'Reilly Factor,3
B35,Let Freedom Ring,3
B36,Those Who Trespass,3
B37,Bias,3
B38,Slander,3
B39,The Savage Nation,3
B40,Deliver Us from Evil,3
B41,Give Me a Break,3
B42,The Enemy Within,3
B43,The Real America,3
B44,Who's Looking Out for You?,3
B45,The Official Handbook Vast Right Wing Conspiracy,3
B47,Arrogance,3
B49,The Bushes,3
B50,Things Worth Fighting For,3
B52,Allies,3
B53,Why Courage Matters,3
B54,Hollywood Interrupted,3
B55,Fighting Back,3
B56,We Will Prevail,3
B57,The Faith of George W Bush,3
B58,Rise of the Vulcans,3
B59,Downsize This!,1
B60,Stupid White Men,1
B61,Rush Limbaugh Is a Big Fat Idiot,1
B62,The Best Democracy Money Can Buy,1
B63,The Culture of Fear,1
B64,America Unbound,1
B65,The Choice,1
B66,The Great Unraveling,1
B67,Rogue Nation,1
B68,Soft Power,1
B70,The Sorrows of Empire,1
B71,Against All Enemies,1
B72,American Dynasty,1
B73,Big Lies,1
B74,The Lies of George W. Bush,1
B75,Worse Than Watergate,1
B77,Bush at War,3
B78,The New Pearl Harbor,1
B79,Bushwomen,1
B80,The Bubble of American Supremacy,1
B81,Living History,1
B82,The Politics of Truth,1
B83,Fanatics and Fools,1
B84,Bushwhacked,1
B85,Disarming Iraq,1
B86,Lies and the Lying Liars Who Tell Them,1
B87,MoveOn's 50 Ways to Love Your Country,1
B88,The Buying of the President 2004,1
B89,Perfectly Legal,1
B90,Hegemony or Survival,1
B91,The Exception to the Rulers,1
B92,Freethinkers,1
B93,Had Enough?,1
B94,"It's Still the Economy, Stupid!",1
B95,We're Right They're Wrong,1
B96,What Liberal Media?,1
B97,The Clinton Wars,1
B98,Weapons of Mass Deception,1
B99,"Dude, Where's My Country?",1
B100,Thieves in High Places,1
B101,Shrub,1
B102,Buck Up Suck Up,1
